run,iteration,topic,num_rel,num_rel_ret,recip_rank,P_5,P_10,P_20,infAP,ndcg,ndcg_cut_5,ndcg_cut_10,ndcg_cut_20,map_cut_5,map_cut_10,map_cut_20,success_1,success_5,success_10
aaxaaxxax,1,1,5,5,1.0000,0.8000,0.5000,0.2500,0.8350,0.9374,0.8304,0.9374,0.9374,0.7100,0.8350,0.8350,1.0000,1.0000,1.0000
xaxxaxaxxx,1,1,5,3,0.5000,0.4000,0.3000,0.1500,0.2657,0.4582,0.3452,0.4582,0.4582,0.1800,0.2657,0.2657,0.0000,1.0000,1.0000
xxaxaaax,1,all,5,4,0.3333,0.4000,0.4000,0.2000,0.3610,0.5346,0.3008,0.5346,0.5346,0.1467,0.3610,0.3610,0.0000,1.0000,1.0000
aaaaxxxxxa,1,1,5,5,1.0000,0.8000,0.5000,0.2500,0.9000,0.9668,0.8688,0.9668,0.9668,0.8000,0.9000,0.9000,1.0000,1.0000,1.0000
axaaaaxax,1,1,5,5,1.0000,0.8000,0.5000,0.2500,0.8100,0.9068,0.7860,0.9068,0.9068,0.6433,0.8100,0.8100,1.0000,1.0000,1.0000
xaaxaxaaxx,1,1,5,5,0.5000,0.6000,0.5000,0.2500,0.5926,0.7348,0.5148,0.7348,0.7348,0.3533,0.5926,0.5926,0.0000,1.0000,1.0000
axxaxxxax,1,1,5,3,1.0000,0.4000,0.3000,0.1500,0.3750,0.5922,0.4852,0.5922,0.5922,0.3000,0.3750,0.3750,1.0000,1.0000,1.0000
axxaxxxaxx,1,1,5,3,1.0000,0.4000,0.3000,0.1500,0.3750,0.5922,0.4852,0.5922,0.5922,0.3000,0.3750,0.3750,1.0000,1.0000,1.0000
xaxaxaxxax,1,all,5,4,0.5000,0.4000,0.4000,0.2000,0.3889,0.5830,0.3601,0.5830,0.5830,0.2000,0.3889,0.3889,0.0000,1.0000,1.0000
aaxxaaxxa,1,1,5,5,1.0000,0.6000,0.5000,0.2500,0.7644,0.9073,0.6844,0.9073,0.9073,0.5200,0.7644,0.7644,1.0000,1.0000,1.0000
xxaaaxaxxx,1,all,5,4,0.3333,0.6000,0.4000,0.2000,0.4010,0.5599,0.4469,0.5599,0.5599,0.2867,0.4010,0.4010,0.0000,1.0000,1.0000
axaaaaxxa,1,all,5,5,1.0000,0.8000,0.5000,0.2500,0.8100,0.9068,0.7860,0.9068,0.9068,0.6433,0.8100,0.8100,1.0000,1.0000,1.0000
xaaxaxxaxx,1,1,5,4,0.5000,0.6000,0.4000,0.2000,0.4533,0.6218,0.5148,0.6218,0.6218,0.3533,0.4533,0.4533,0.0000,1.0000,1.0000
axaxaa,1,1,5,4,1.0000,0.6000,0.4000,0.2000,0.5867,0.7608,0.6399,0.7608,0.7608,0.4533,0.5867,0.5867,1.0000,1.0000,1.0000
xxaxaaxxxx,1,all,5,3,0.3333,0.4000,0.3000,0.1500,0.2467,0.4216,0.3008,0.4216,0.4216,0.1467,0.2467,0.2467,0.0000,1.0000,1.0000
aaxxaxxaxx,1,1,5,4,1.0000,0.6000,0.4000,0.2000,0.6200,0.7913,0.6844,0.7913,0.7913,0.5200,0.6200,0.6200,1.0000,1.0000,1.0000
aaxxaaaxaa,1,all,5,5,1.0000,0.6000,0.5000,0.2500,0.7962,0.9182,0.6844,0.9182,0.9182,0.5200,0.7962,0.7962,1.0000,1.0000,1.0000
axxxxxaaaa,1,all,5,5,1.0000,0.2000,0.5000,0.2500,0.5210,0.7593,0.3392,0.7593,0.7593,0.2000,0.5210,0.5210,1.0000,1.0000,1.0000
xxxxxaxaxa,1,all,5,3,0.1667,0.0000,0.3000,0.1500,0.1433,0.3258,0.0000,0.3258,0.3258,0.0000,0.1433,0.1433,0.0000,0.0000,1.0000
axaxxxxxx,1,1,5,2,1.0000,0.4000,0.2000,0.1000,0.3333,0.5087,0.5087,0.5087,0.5087,0.3333,0.3333,0.3333,1.0000,1.0000,1.0000
axxxaxaxx,1,all,5,3,1.0000,0.4000,0.3000,0.1500,0.3657,0.5834,0.4704,0.5834,0.5834,0.2800,0.3657,0.3657,1.0000,1.0000,1.0000
xxxxxxaxxx,1,all,5,1,0.1429,0.0000,0.1000,0.0500,0.0286,0.1131,0.0000,0.1131,0.1131,0.0000,0.0286,0.0286,0.0000,0.0000,1.0000
xxaxaxaax,1,1,5,4,0.3333,0.4000,0.4000,0.2000,0.3324,0.5208,0.3008,0.5208,0.5208,0.1467,0.3324,0.3324,0.0000,1.0000,1.0000
xxaaa,1,all,5,3,0.3333,0.6000,0.3000,0.1500,0.2867,0.4469,0.4469,0.4469,0.4469,0.2867,0.2867,0.2867,0.0000,1.0000,1.0000
xxxaxxxxxx,1,1,5,1,0.2500,0.2000,0.1000,0.0500,0.0500,0.1461,0.1461,0.1461,0.1461,0.0500,0.0500,0.0500,0.0000,1.0000,1.0000
aaxaaaax,1,all,5,5,1.0000,0.8000,0.5000,0.2500,0.8767,0.9512,0.8304,0.9512,0.9512,0.7100,0.8767,0.8767,1.0000,1.0000,1.0000
axaxxaaaaa,1,all,5,5,1.0000,0.4000,0.5000,0.2500,0.6726,0.8496,0.5087,0.8496,0.8496,0.3333,0.6726,0.6726,1.0000,1.0000,1.0000
xaaaxaxxxx,1,all,5,4,0.5000,0.6000,0.4000,0.2000,0.5167,0.6504,0.5296,0.6504,0.6504,0.3833,0.5167,0.5167,0.0000,1.0000,1.0000
aaxxxaxaax,1,1,5,5,1.0000,0.4000,0.5000,0.2500,0.7111,0.8830,0.5531,0.8830,0.8830,0.4000,0.7111,0.7111,1.0000,1.0000,1.0000
xaaxaxxaaa,1,all,5,5,0.5000,0.6000,0.5000,0.2500,0.5644,0.7239,0.5148,0.7239,0.7239,0.3533,0.5644,0.5644,0.0000,1.0000,1.0000
aaaaxaa,1,all,5,5,1.0000,0.8000,0.5000,0.2500,0.9667,0.9896,0.8688,0.9896,0.9896,0.8000,0.9667,0.9667,1.0000,1.0000,1.0000
xaaaxxaxxx,1,all,5,4,0.5000,0.6000,0.4000,0.2000,0.4976,0.6427,0.5296,0.6427,0.6427,0.3833,0.4976,0.4976,0.0000,1.0000,1.0000
aaxaxaaxaa,1,1,5,5,1.0000,0.6000,0.5000,0.2500,0.8262,0.9331,0.6992,0.9331,0.9331,0.5500,0.8262,0.8262,1.0000,1.0000,1.0000
xaxxxaxxx,1,all,5,2,0.5000,0.2000,0.2000,0.1000,0.1667,0.3348,0.2140,0.3348,0.3348,0.1000,0.1667,0.1667,0.0000,1.0000,1.0000
axaxaaaa,1,all,5,5,1.0000,0.6000,0.5000,0.2500,0.7295,0.8738,0.6399,0.8738,0.8738,0.4533,0.7295,0.7295,1.0000,1.0000,1.0000
xxxaxaxxx,1,1,5,2,0.2500,0.2000,0.2000,0.1000,0.1167,0.2669,0.1461,0.2669,0.2669,0.0500,0.1167,0.1167,0.0000,1.0000,1.0000
xaxaxaxax,1,all,5,4,0.5000,0.4000,0.4000,0.2000,0.4000,0.5879,0.3601,0.5879,0.5879,0.2000,0.4000,0.4000,0.0000,1.0000,1.0000
aaxxaxxxax,1,all,5,4,1.0000,0.6000,0.4000,0.2000,0.6089,0.7864,0.6844,0.7864,0.7864,0.5200,0.6089,0.6089,1.0000,1.0000,1.0000
xaaxxxxaa,1,1,5,4,0.5000,0.4000,0.4000,0.2000,0.3972,0.5927,0.3836,0.5927,0.5927,0.2333,0.3972,0.3972,0.0000,1.0000,1.0000
aaxaxxxaxx,1,1,5,4,1.0000,0.6000,0.4000,0.2000,0.6500,0.8062,0.6992,0.8062,0.8062,0.5500,0.6500,0.6500,1.0000,1.0000,1.0000
aaxaaxx,1,all,5,4,1.0000,0.8000,0.4000,0.2000,0.7100,0.8304,0.8304,0.8304,0.8304,0.7100,0.7100,0.7100,1.0000,1.0000,1.0000
axxaaxaaaa,1,1,5,5,1.0000,0.6000,0.5000,0.2500,0.6593,0.8365,0.6164,0.8365,0.8365,0.4200,0.6593,0.6593,1.0000,1.0000,1.0000
axxaxxaaaa,1,1,5,5,1.0000,0.4000,0.5000,0.2500,0.5968,0.8074,0.4852,0.8074,0.8074,0.3000,0.5968,0.5968,1.0000,1.0000,1.0000
aaaaxxaxxx,1,1,5,5,1.0000,0.8000,0.5000,0.2500,0.9429,0.9818,0.8688,0.9818,0.9818,0.8000,0.9429,0.9429,1.0000,1.0000,1.0000
aaaxxxaxaa,1,1,5,5,1.0000,0.6000,0.5000,0.2500,0.8254,0.9379,0.7227,0.9379,0.9379,0.6000,0.8254,0.8254,1.0000,1.0000,1.0000
aaaxaxaxxx,1,1,5,5,1.0000,0.8000,0.5000,0.2500,0.9029,0.9670,0.8539,0.9670,0.9670,0.7600,0.9029,0.9029,1.0000,1.0000,1.0000
aaaxaxxx,1,1,5,4,1.0000,0.8000,0.4000,0.2000,0.7600,0.8539,0.8539,0.8539,0.8539,0.7600,0.7600,0.7600,1.0000,1.0000,1.0000
xxaxaxax,1,1,5,3,0.3333,0.4000,0.3000,0.1500,0.2324,0.4138,0.3008,0.4138,0.4138,0.1467,0.2324,0.2324,0.0000,1.0000,1.0000
aaaxaaxxaa,1,all,5,5,1.0000,0.8000,0.5000,0.2500,0.9267,0.9747,0.8539,0.9747,0.9747,0.7600,0.9267,0.9267,1.0000,1.0000,1.0000
aaaaxxaxax,1,1,5,5,1.0000,0.8000,0.5000,0.2500,0.9429,0.9818,0.8688,0.9818,0.9818,0.8000,0.9429,0.9429,1.0000,1.0000,1.0000
