,run,iteration,topic,rbu_0.800_0.001,rbu_0.800_0.050,rbu_0.800_0.100,rbu_0.800_0.500,rbu_0.900_0.001,rbu_0.900_0.050,rbu_0.900_0.100,rbu_0.900_0.500,rbu_0.990_0.001,rbu_0.990_0.050,rbu_0.990_0.100,rbu_0.990_0.500,alpha-DCG,NRBP,strec,ERR-IA,alpha-nDCG,nNRBP,MAP-IA,nERR-IA,P-IA,act,nct,nsDCG,p,rtime,ntime,ttime,nEU
0,GT_FifthIterBaseline,10,all,0.15912588271,-0.0361336502258,-0.235378071589,-1.82933344249,0.214321245029,-0.195019453713,-0.612714044267,-3.9542707687,0.279643224649,-0.798145360906,-1.89792963188,-10.6962037997,0.261911,0.198665,0.490203,0.224324,0.310208,0.248695,0.065366,0.274729,0.023485,0.1007624,0.585047,0.1205952,0.1086792,0.2,-5.0,-282.6473192,0.9108411
1,GT_FifthIterBaseline,10,30,-0.00398488842725,-0.199244421363,-0.398488842725,-1.99244421363,-0.00835389181108,-0.417694590554,-0.835389181108,-4.17694590554,-0.0219956854195,-1.09978427097,-2.19956854195,-10.9978427097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-5.0,-243.06644,0.9944945
2,GT_FifthIterBaseline,10,28,0.0768838902394,-0.118375642696,-0.317620064059,-1.91157543496,0.166357531376,-0.242983167366,-0.66067775792,-4.00223448235,0.342791673064,-0.73499691249,-1.83478118346,-10.6330553513,0.222316,0.126709,0.666667,0.166979,0.279153,0.185081,0.041395,0.228738,0.016667,0.0643889,0.587473,0.1199956,0.08,0.2,-5.0,-361.06562,0.9677481
3,GT_FifthIterBaseline,10,29,0.0600151115727,-0.135244421363,-0.334488842725,-1.92844421363,0.0827711081889,-0.326569590554,-0.744264181108,-4.08582090554,0.0992916895805,-0.978496895974,-2.07828116695,-10.8765553347,0.081192,0.046875,0.25,0.060112,0.146121,0.111511,0.083333,0.126383,0.005,0.02825,0.192,0.0417962,0.04,0.2,-5.0,-283.12256,0.9736406
4,GT_FifthIterBaseline,10,36,0.114415111573,-0.0808444213627,-0.280088842725,-1.87404421363,0.154405483189,-0.254935215554,-0.672629806108,-4.01418653054,0.190572690518,-0.887215895037,-1.98700016601,-10.7852743338,0.274842,0.210938,0.5,0.225421,0.348949,0.328125,0.007246,0.322546,0.02,0.0585,0.3368421,0.0447277,0.08,0.2,-5.0,-261.00956,0.9866033
5,GT_FifthIterBaseline,10,35,0.124015111573,-0.0712444213627,-0.270488842725,-1.86444421363,0.153646108189,-0.255694590554,-0.673389181108,-4.01494590554,0.174024314581,-0.903764270974,-2.00354854195,-10.8018227097,0.081963,0.075,0.2,0.072135,0.144907,0.170473,0.025,0.145785,0.004,0.0333333,0.2504892,0.1054822,0.04,0.2,-5.0,-234.3476,0.9915444
6,GT_FifthIterBaseline,10,34,0.159855111573,-0.0354044213627,-0.234648842725,-1.82860421363,0.286891108189,-0.122449590554,-0.540144181108,-3.88170090554,0.453499339531,-0.624289246024,-1.724073517,-10.5223476848,0.176865,0.024902,0.5,0.094677,0.223148,0.028716,0.075,0.1125,0.02,0.081,0.6666667,0.2051463,0.08,0.2,-5.0,-292.58552,0.9931252
7,GT_FifthIterBaseline,10,24,0.165310547883,-0.0299489850528,-0.229193406416,-1.82314877732,0.213838159217,-0.195502539525,-0.613197130079,-3.95475385451,0.261294559225,-0.81649402633,-1.9162782973,-10.7145524651,0.392318,0.315607,0.636364,0.350427,0.457597,0.416608,0.019082,0.438264,0.032727,0.1380095,0.6965909,0.1099842,0.2,0.2,-5.0,-232.9787,0.6530996
8,GT_FifthIterBaseline,10,25,0.0574551115727,-0.137804421363,-0.337048842725,-1.93100421363,0.0955286081889,-0.313812090554,-0.731506681108,-4.07306340554,0.137303152906,-0.940485432649,-2.04026970362,-10.8385438714,0.132754,0.035156,0.5,0.081152,0.176076,0.059396,0.001938,0.123561,0.01,0.0316667,0.2119205,0.0254988,0.08,0.2,-5.0,-254.64242,0.9595771
9,GT_FifthIterBaseline,10,26,-0.00398488842725,-0.199244421363,-0.398488842725,-1.99244421363,-0.00835389181108,-0.417694590554,-0.835389181108,-4.17694590554,-0.0219956854195,-1.09978427097,-2.19956854195,-10.9978427097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-5.0,-244.27388,0.7726968
10,GT_FifthIterBaseline,10,27,0.20590550094,0.010645968005,-0.188598453358,-1.78255382426,0.323823995881,-0.0855167028621,-0.503211293416,-3.84476801785,0.485963857431,-0.591824728124,-1.6916089991,-10.4898831669,0.407164,0.253396,0.75,0.323479,0.451845,0.305108,0.004383,0.377302,0.06,0.2005833,1.15,0.139258,0.28,0.2,-5.0,-315.45668,0.8239699
11,GT_FifthIterBaseline,10,20,0.224448074442,0.0291885415067,-0.170055879856,-1.76401125076,0.26117611569,-0.148164583053,-0.565859173607,-3.90741589804,0.28842707719,-0.789361508365,-1.88914577934,-10.6874199471,0.545284,0.583008,0.666667,0.571568,0.545306,0.58301,0.005797,0.57159,0.04,0.2131111,0.9333333,0.0912799,0.2,0.2,-5.0,-517.75904,0.6911788
12,GT_FifthIterBaseline,10,21,0.341615111573,0.146355578637,-0.0528888427255,-1.64684421363,0.437652358189,0.0283116594461,-0.389382931108,-3.73093965554,0.528091565206,-0.549697020349,-1.64948129132,-10.4477554591,0.444781,0.386719,1.0,0.383216,0.471607,0.40994,0.082157,0.404378,0.025,0.09175,0.5294118,0.0735119,0.08,0.2,-5.0,-236.5589,0.9712663
13,GT_FifthIterBaseline,10,22,0.40773429418,0.212474761245,0.0132303398818,-1.58072503102,0.507962593673,0.0986218949303,-0.319072695624,-3.66062942005,0.617745822658,-0.460042762896,-1.55982703387,-10.3581012017,0.859329,0.838348,1.0,0.859856,0.859766,0.838431,0.140654,0.860252,0.065,0.2843958,1.3375,0.2782427,0.2,0.2,-5.0,-252.78212,0.96354
14,GT_FifthIterBaseline,10,23,-0.00398488842725,-0.199244421363,-0.398488842725,-1.99244421363,-0.00835389181108,-0.417694590554,-0.835389181108,-4.17694590554,-0.0219956854195,-1.09978427097,-2.19956854195,-10.9978427097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-5.0,-259.13522,0.8377601
15,GT_FifthIterBaseline,10,46,0.564904000462,0.369644467526,0.170400046163,-1.42355532474,0.661646108189,0.252305409446,-0.165389181108,-3.50694590554,0.744704314581,-0.333084270974,-1.43286854195,-10.2311427097,0.637933,0.6875,1.0,0.661235,0.846495,0.939508,0.373016,0.897352,0.026667,0.2398333,1.1,0.4683332,0.08,0.2,-5.0,-308.89298,0.9915671
16,GT_FifthIterBaseline,10,47,0.00975402666393,-0.185505506272,-0.384749927634,-1.97870529854,0.0145573960889,-0.394783302654,-0.812477893208,-4.15403461764,0.0171510155954,-1.06063756996,-2.16042184093,-10.9586960087,0.123226,0.110766,0.142857,0.11865,0.169981,0.184241,0.000118,0.181877,0.014286,0.0099256,0.062,0.0257447,0.2,0.2,-5.0,-319.52828,0.9659843
17,GT_FifthIterBaseline,10,44,0.11575235563,-0.0795071773051,-0.278751598668,-1.87270696957,0.151366607658,-0.257974091085,-0.675668681639,-4.01722540607,0.196675193061,-0.881113392494,-1.98089766347,-10.7791718313,0.21043,0.160107,0.4,0.186148,0.262597,0.22408,0.057222,0.24967,0.016,0.0427833,0.2717391,0.1337349,0.16,0.2,-5.0,-305.40404,0.9778857
18,GT_FifthIterBaseline,10,45,-0.00398488842725,-0.199244421363,-0.398488842725,-1.99244421363,-0.00835389181108,-0.417694590554,-0.835389181108,-4.17694590554,-0.0219956854195,-1.09978427097,-2.19956854195,-10.9978427097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-5.0,-263.06642,0.9917827
19,GT_FifthIterBaseline,10,42,0.636015111573,0.440755578637,0.241511157275,-1.35244421363,0.801646108189,0.392305409446,-0.0253891811077,-3.36694590554,0.958104314581,-0.119684270974,-1.21946854195,-10.0177427097,0.500604,0.378479,1.0,0.401464,0.567146,0.423659,0.23626,0.448205,0.04,0.1025417,0.8335221,0.2709962,0.12,0.2,-5.0,-356.80448,0.9932695
20,GT_FifthIterBaseline,10,43,-0.00398488842725,-0.199244421363,-0.398488842725,-1.99244421363,-0.00835389181108,-0.417694590554,-0.835389181108,-4.17694590554,-0.0219956854195,-1.09978427097,-2.19956854195,-10.9978427097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-5.0,-245.69192,0.9853596
21,GT_FifthIterBaseline,10,40,-0.00398488842725,-0.199244421363,-0.398488842725,-1.99244421363,-0.00835389181108,-0.417694590554,-0.835389181108,-4.17694590554,-0.0219956854195,-1.09978427097,-2.19956854195,-10.9978427097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-5.0,-279.85124,0.9404701
22,GT_FifthIterBaseline,10,41,0.00436643687052,-0.190893096065,-0.390137517428,-1.98409288833,0.0187655424189,-0.390575156324,-0.808269746878,-4.14982647131,0.0483451426368,-1.02944344292,-2.12922771389,-10.9275018817,0.018776,0.000146,0.1,0.007213,0.042558,0.000522,0.003333,0.021008,0.002,0.0123667,0.1803543,0.0294069,0.04,0.2,-5.0,-242.65928,0.9778268
23,GT_FifthIterBaseline,10,1,0.262239710613,0.0669801776773,-0.132264243685,-1.72621961459,0.407525857201,-0.00181484154139,-0.419509432095,-3.76106615653,0.600102401369,-0.477686184186,-1.57747045516,-10.375744623,0.49275,0.197083,1.0,0.318595,0.492751,0.197083,0.008248,0.318595,0.08,0.2563542,1.5125,0.1288449,0.2,0.2,-5.0,-253.25948,0.8014681
24,GT_FifthIterBaseline,10,3,-0.00398488842725,-0.199244421363,-0.398488842725,-1.99244421363,-0.00835389181108,-0.417694590554,-0.835389181108,-4.17694590554,-0.0219956854195,-1.09978427097,-2.19956854195,-10.9978427097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-5.0,-242.04152,0.9841715
25,GT_FifthIterBaseline,10,2,0.115217059837,-0.0800424730987,-0.279286894461,-1.87324226536,0.167705850535,-0.241634848208,-0.659329438761,-4.00088616319,0.235298336343,-0.842490249212,-1.94227452019,-10.740548688,0.403671,0.293228,0.666667,0.321637,0.435889,0.316291,0.003356,0.344887,0.053333,0.2102222,1.3913043,0.0367277,0.24,0.2,-5.0,-238.06118,0.6764341
26,GT_FifthIterBaseline,10,5,0.636015111573,0.440755578637,0.241511157275,-1.35244421363,0.801646108189,0.392305409446,-0.0253891811077,-3.36694590554,0.958104314581,-0.119684270974,-1.21946854195,-10.0177427097,0.598567,0.422607,1.0,0.47088,0.616694,0.424265,0.333333,0.478372,0.06,0.2536667,1.4,0.3874235,0.12,0.2,-5.0,-244.13348,0.9962715
27,GT_FifthIterBaseline,10,4,0.310089185647,0.114829652711,-0.0844147686514,-1.67837013955,0.362521108189,-0.0468195905539,-0.464514181108,-3.80607090554,0.406381852081,-0.671406733474,-1.77119100445,-10.5694651722,0.448833,0.367188,0.666667,0.405758,0.562913,0.517296,0.154684,0.54326,0.033333,0.2248889,1.0666667,0.3131296,0.12,0.2,-5.0,-342.3854,0.9633655
28,GT_FifthIterBaseline,10,7,0.00702880046163,-0.188230732474,-0.387475153837,-1.98143052474,0.0134973136577,-0.395843385085,-0.813537975639,-4.15509470007,0.0164255508648,-1.06136303469,-2.16114730566,-10.9594214735,0.179766,0.026367,0.5,0.097897,0.179766,0.026367,0.001854,0.097897,0.02,0.0415,0.3,0.0024735,0.08,0.2,-5.0,-334.77572,0.7956656
29,GT_FifthIterBaseline,10,6,0.0262665762441,-0.168992956691,-0.368237378054,-1.96219274896,0.0618549980572,-0.347485700686,-0.765180291239,-4.10673701567,0.122730328273,-0.955058257282,-2.05484252826,-10.853116696,0.123346,0.014908,0.272727,0.063981,0.188192,0.033491,0.001589,0.121999,0.032727,0.0582708,0.4511364,0.0733947,0.24,0.2,-5.0,-263.75438,0.6415548
30,GT_FifthIterBaseline,10,9,0.176505718245,-0.0187538146902,-0.217998236053,-1.81195360695,0.273663400447,-0.135677298296,-0.55337188885,-3.89492861328,0.403320220951,-0.674468364604,-1.77425263558,-10.5725268034,0.39658,0.249996,0.75,0.296679,0.396603,0.249999,0.005923,0.296696,0.075,0.1812135,1.034375,0.0892829,0.28,0.2,-5.0,-239.80214,0.7264417
31,GT_FifthIterBaseline,10,8,0.211078615533,0.0158190825978,-0.183425338765,-1.77738070967,0.323272132639,-0.0860685661039,-0.503763156658,-3.84531988109,0.463216633242,-0.614571952313,-1.71435622329,-10.5126303911,0.353336,0.15271,1.0,0.234438,0.406967,0.196777,0.009022,0.287648,0.03,0.1477917,0.9210585,0.0788354,0.12,0.2,-5.0,-228.45782,0.9433207
