iteration,dimensions,metric,mu,m_ij,set_ij,m_set_ij
10,p,act,0.6616482321474385,3263.0,3593.0,2810.0
10,p,nct,0.6754442523135088,3263.0,3593.0,2837.0
10,p,nEU,0.5976112398179101,3263.0,3593.0,2688.0
10,p,nsDCG,0.38582462438363224,3263.0,3593.0,2321.0
10,p,alpha-nDCG,0.3932644090233491,3263.0,3593.0,2333.0
10,p,nERR-IA,0.39820303615116265,3263.0,3593.0,2341.0
10,p,rbu_0.800_0.001,0.4202200049815845,3263.0,3593.0,2377.0
10,p,rbu_0.800_0.050,0.46621335070205483,3263.0,3593.0,2454.0
10,p,rbu_0.800_0.100,0.48316236321599076,3263.0,3593.0,2483.0
10,p,rbu_0.800_0.500,0.5124946261799592,3263.0,3593.0,2534.0
10,p,rbu_0.900_0.001,0.45262799506787865,3263.0,3593.0,2431.0
10,p,rbu_0.900_0.050,0.5868367682237348,3263.0,3593.0,2668.0
10,p,rbu_0.900_0.100,0.6045717415481168,3263.0,3593.0,2701.0
10,p,rbu_0.900_0.500,0.5501445009821412,3263.0,3593.0,2601.0
10,p,rbu_0.990_0.001,0.5518075502047851,3263.0,3593.0,2604.0
10,p,rbu_0.990_0.050,0.5781588771517376,3263.0,3593.0,2652.0
10,p,rbu_0.990_0.100,0.5136328471785571,3263.0,3593.0,2536.0
10,p,rbu_0.990_0.500,0.4825812171695063,3263.0,3593.0,2482.0
10,strec,act,0.2404782547080232,3263.0,5549.0,3241.0
10,strec,nct,0.2537709934729607,3263.0,5549.0,3271.0
10,strec,nEU,0.46851922641129184,3263.0,5549.0,3796.0
10,strec,nsDCG,0.2834553274532981,3263.0,5549.0,3339.0
10,strec,alpha-nDCG,0.29635966251194007,3263.0,5549.0,3369.0
10,strec,nERR-IA,0.27826110027304884,3263.0,5549.0,3327.0
10,strec,rbu_0.800_0.001,0.2599326045998744,3263.0,5549.0,3285.0
10,strec,rbu_0.800_0.050,0.24314661867627052,3263.0,5549.0,3247.0
10,strec,rbu_0.800_0.100,0.23691274151626815,3263.0,5549.0,3233.0
10,strec,rbu_0.800_0.500,0.20806689377241608,3263.0,5549.0,3169.0
10,strec,rbu_0.900_0.001,0.28042763475573035,3263.0,5549.0,3332.0
10,strec,rbu_0.900_0.050,0.22840916306527648,3263.0,5549.0,3214.0
10,strec,rbu_0.900_0.100,0.19939106266482384,3263.0,5549.0,3150.0
10,strec,rbu_0.900_0.500,0.12418471847564976,3263.0,5549.0,2990.0
10,strec,rbu_0.990_0.001,0.3044731087223811,3263.0,5549.0,3388.0
10,strec,rbu_0.990_0.050,0.1361972361776298,3263.0,5549.0,3015.0
10,strec,rbu_0.990_0.100,0.07361034162616457,3263.0,5549.0,2887.0
10,strec,rbu_0.990_0.500,0.04636983576828118,3263.0,5549.0,2833.0
10,rtime,act,0.48468903934054947,3263.0,4072.0,2817.0
10,rtime,nct,0.6176693465932565,3263.0,4072.0,3089.0
10,rtime,nEU,0.07391306333778838,3263.0,4072.0,2119.0
10,rtime,nsDCG,-0.3350098728120355,3263.0,4072.0,1596.0
10,rtime,alpha-nDCG,-0.1110686643801011,3263.0,4072.0,1864.0
10,rtime,nERR-IA,-0.015977303313878533,3263.0,4072.0,1991.0
10,rtime,rbu_0.800_0.001,0.025449459976865242,3263.0,4072.0,2049.0
10,rtime,rbu_0.800_0.050,0.14108915220308713,3263.0,4072.0,2220.0
10,rtime,rbu_0.800_0.100,0.1852469385213054,3263.0,4072.0,2289.0
10,rtime,rbu_0.800_0.500,0.31994014684627425,3263.0,4072.0,2513.0
10,rtime,rbu_0.900_0.001,0.004170386297091881,3263.0,4072.0,2019.0
10,rtime,rbu_0.900_0.050,0.3427230133727377,3263.0,4072.0,2553.0
10,rtime,rbu_0.900_0.100,0.4645760749470113,3263.0,4072.0,2778.0
10,rtime,rbu_0.900_0.500,0.6658937883768515,3263.0,4072.0,3194.0
10,rtime,rbu_0.990_0.001,0.019805657998338194,3263.0,4072.0,2041.0
10,rtime,rbu_0.990_0.050,0.6699532737403022,3263.0,4072.0,3203.0
10,rtime,rbu_0.990_0.100,0.7312412090268067,3263.0,4072.0,3342.0
10,rtime,rbu_0.990_0.500,0.7552153281498394,3263.0,4072.0,3398.0
10,ntime,act,0.48468903934054947,3263.0,4072.0,2817.0
10,ntime,nct,0.6176693465932565,3263.0,4072.0,3089.0
10,ntime,nEU,0.07391306333778838,3263.0,4072.0,2119.0
10,ntime,nsDCG,-0.3350098728120355,3263.0,4072.0,1596.0
10,ntime,alpha-nDCG,-0.1110686643801011,3263.0,4072.0,1864.0
10,ntime,nERR-IA,-0.015977303313878533,3263.0,4072.0,1991.0
10,ntime,rbu_0.800_0.001,0.025449459976865242,3263.0,4072.0,2049.0
10,ntime,rbu_0.800_0.050,0.14108915220308713,3263.0,4072.0,2220.0
10,ntime,rbu_0.800_0.100,0.1852469385213054,3263.0,4072.0,2289.0
10,ntime,rbu_0.800_0.500,0.31994014684627425,3263.0,4072.0,2513.0
10,ntime,rbu_0.900_0.001,0.004170386297091881,3263.0,4072.0,2019.0
10,ntime,rbu_0.900_0.050,0.3427230133727377,3263.0,4072.0,2553.0
10,ntime,rbu_0.900_0.100,0.4645760749470113,3263.0,4072.0,2778.0
10,ntime,rbu_0.900_0.500,0.6658937883768515,3263.0,4072.0,3194.0
10,ntime,rbu_0.990_0.001,0.019805657998338194,3263.0,4072.0,2041.0
10,ntime,rbu_0.990_0.050,0.6699532737403022,3263.0,4072.0,3203.0
10,ntime,rbu_0.990_0.100,0.7312412090268067,3263.0,4072.0,3342.0
10,ntime,rbu_0.990_0.500,0.7552153281498394,3263.0,4072.0,3398.0
10,ttime,act,0.6133583687837323,3263.0,3435.0,2598.0
10,ttime,nct,0.7479309197797395,3263.0,3435.0,2852.0
10,ttime,nEU,0.18455778549129404,3263.0,3435.0,1930.0
10,ttime,nsDCG,-0.2652815963302094,3263.0,3435.0,1413.0
10,ttime,alpha-nDCG,-0.019020912964797035,3263.0,3435.0,1676.0
10,ttime,nERR-IA,0.07994078204626502,3263.0,3435.0,1795.0
10,ttime,rbu_0.800_0.001,0.1436167658512279,3263.0,3435.0,1876.0
10,ttime,rbu_0.800_0.050,0.26805778116496254,3263.0,3435.0,2045.0
