iteration,dimensions,metric,mu,m_ij,set_ij,m_set_ij
10,p,act,0.7535161823672771,58528.0,65297.0,55042.0
10,p,nct,0.7678865270143183,58528.0,65297.0,55593.0
10,p,nEU,0.4033799439282674,58528.0,65297.0,43181.0
10,p,nsDCG,0.6618075020571975,58528.0,65297.0,51652.0
10,p,alpha-nDCG,0.6845860580260641,58528.0,65297.0,52474.0
10,p,nERR-IA,0.6831006434343754,58528.0,65297.0,52420.0
10,p,rbu_0.990_0.050,0.47704136981874806,58528.0,65297.0,45443.0
10,strec,act,0.4989732883553357,58528.0,81787.0,57791.0
10,strec,nct,0.45790257246395705,58528.0,81787.0,56169.0
10,strec,nEU,0.27301910267049667,58528.0,81787.0,49413.0
10,strec,nsDCG,0.6038132044715586,58528.0,81787.0,62147.0
10,strec,alpha-nDCG,0.6287604901708767,58528.0,81787.0,63231.0
10,strec,nERR-IA,0.6014201546807917,58528.0,81787.0,62044.0
10,strec,rbu_0.990_0.050,0.11602123056817495,58528.0,81787.0,44318.0
10,ttime,act,0.04601370816427981,58528.0,59244.0,30582.0
10,ttime,nct,0.2917098741692673,58528.0,59244.0,36260.0
10,ttime,nEU,0.1359441693689657,58528.0,59244.0,32549.0
10,ttime,nsDCG,-0.5354856160253572,58528.0,59244.0,20437.0
10,ttime,alpha-nDCG,-0.39392553415261633,58528.0,59244.0,22544.0
10,ttime,nERR-IA,-0.3198961554107099,58528.0,59244.0,23731.0
10,ttime,rbu_0.990_0.050,0.5441952732193863,58528.0,59244.0,43195.0
10,strec+p,act,0.7873290120452247,58528.0,59630.0,51457.0
10,strec+p,nct,0.7724207253243885,58528.0,59630.0,50928.0
10,strec+p,nEU,0.44519262867846354,58528.0,59630.0,40593.0
10,strec+p,nsDCG,0.7647233037846064,58528.0,59630.0,50657.0
10,strec+p,alpha-nDCG,0.7902419075629779,58528.0,59630.0,51561.0
10,strec+p,nERR-IA,0.7693580386291847,58528.0,59630.0,50820.0
10,strec+p,rbu_0.990_0.050,0.43860261011966994,58528.0,59630.0,40408.0
10,strec+ttime,act,0.6460855897384125,58528.0,32357.0,25318.0
10,strec+ttime,nct,0.7874794271359115,58528.0,32357.0,27925.0
10,strec+ttime,nEU,0.5418329773682192,58528.0,32357.0,23553.0
10,strec+ttime,nsDCG,0.2730907539599491,58528.0,32357.0,19550.0
10,strec+ttime,alpha-nDCG,0.41119792984300807,58528.0,32357.0,21514.0
10,strec+ttime,nERR-IA,0.418889111385497,58528.0,32357.0,21629.0
10,strec+ttime,rbu_0.990_0.050,0.7342253640086708,58528.0,32357.0,26913.0
10,p+ttime,act,0.7407098956770171,58528.0,31477.0,26299.0
10,p+ttime,nct,0.896060889354162,58528.0,31477.0,29289.0
10,p+ttime,nEU,0.5636150727272775,58528.0,31477.0,23261.0
10,p+ttime,nsDCG,0.3005682624289884,58528.0,31477.0,19384.0
10,p+ttime,alpha-nDCG,0.40540332467339296,58528.0,31477.0,20845.0
10,p+ttime,nERR-IA,0.4454011222513649,58528.0,31477.0,21431.0
10,p+ttime,rbu_0.990_0.050,0.8886038083404812,58528.0,31477.0,29138.0
10,strec+p+ttime,act,0.8012007461051839,58528.0,26211.0,22837.0
10,strec+p+ttime,nct,0.9136960066309244,58528.0,26211.0,24689.0
10,strec+p+ttime,nEU,0.6689059458977709,58528.0,26211.0,20836.0
10,strec+p+ttime,nsDCG,0.5093899638512108,58528.0,26211.0,18655.0
10,strec+p+ttime,alpha-nDCG,0.6141492096466115,58528.0,26211.0,20060.0
10,strec+p+ttime,nERR-IA,0.6080231068497699,58528.0,26211.0,19975.0
10,strec+p+ttime,rbu_0.990_0.050,0.8860264687287596,58528.0,26211.0,24220.0
1,p,act,0.8412445291334908,58528.0,79048.0,70811.0
1,p,nct,0.8903164324204751,58528.0,79048.0,73261.0
1,p,nEU,0.57495069759309,58528.0,79048.0,58876.0
1,p,nsDCG,0.8521238072095194,58528.0,79048.0,71347.0
1,p,alpha-nDCG,0.7885650543530661,58528.0,79048.0,68272.0
1,p,nERR-IA,0.7844808843968929,58528.0,79048.0,68079.0
1,p,rbu_0.990_0.050,0.7788967309038876,58528.0,79048.0,67816.0
1,strec,act,0.7117965192303919,58528.0,84593.0,69275.0
1,strec,nct,0.7774825065862238,58528.0,84593.0,72502.0
1,strec,nEU,0.4702885181726972,58528.0,84593.0,58597.0
1,strec,nsDCG,0.700191750000076,58528.0,84593.0,68720.0
1,strec,alpha-nDCG,0.7661355431215409,58528.0,84593.0,71934.0
1,strec,nERR-IA,0.7580101550492279,58528.0,84593.0,71530.0
1,strec,rbu_0.990_0.050,0.7638875412673904,58528.0,84593.0,71822.0
1,ttime,act,-0.055045593101074326,58528.0,64430.0,31009.0
1,ttime,nct,0.0425812915344321,58528.0,64430.0,33180.0
1,ttime,nEU,0.025215287960006567,58528.0,64430.0,32783.0
1,ttime,nsDCG,-0.07095146821183086,58528.0,64430.0,30669.0
1,ttime,alpha-nDCG,0.10032662889020647,58528.0,64430.0,34535.0
1,ttime,nERR-IA,0.10358139434742533,58528.0,64430.0,34613.0
1,ttime,rbu_0.990_0.050,0.10745250383553281,58528.0,64430.0,34706.0
1,strec+p,act,0.8717941787822169,58528.0,73467.0,67220.0
1,strec+p,nct,0.9309591256611516,58528.0,73467.0,70034.0
1,strec+p,nEU,0.6187266915879793,58528.0,73467.0,56405.0
1,strec+p,nsDCG,0.876486779982473,58528.0,73467.0,67439.0
1,strec+p,alpha-nDCG,0.88084428153093,58528.0,73467.0,67643.0
1,strec+p,nERR-IA,0.8715366083275998,58528.0,73467.0,67208.0
1,strec+p,rbu_0.990_0.050,0.8677966599106358,58528.0,73467.0,67034.0
1,strec+ttime,act,0.5399564874350347,58528.0,41859.0,30430.0
1,strec+ttime,nct,0.6521988875800075,58528.0,41859.0,32892.0
1,strec+ttime,nEU,0.5155241095851263,58528.0,41859.0,29919.0
1,strec+ttime,nsDCG,0.5156687624193471,58528.0,41859.0,29922.0
1,strec+ttime,alpha-nDCG,0.7056293741990927,58528.0,41859.0,34133.0
1,strec+ttime,nERR-IA,0.6997847233084724,58528.0,41859.0,33995.0
1,strec+ttime,rbu_0.990_0.050,0.7093019134098523,58528.0,41859.0,34220.0
1,p+ttime,act,0.7628889842049603,58528.0,35155.0,29827.0
1,p+ttime,nct,0.8529812574739104,58528.0,35155.0,31749.0
1,p+ttime,nEU,0.7391389765298894,58528.0,35155.0,29340.0
1,p+ttime,nsDCG,0.7743070773891924,58528.0,35155.0,30064.0
1,p+ttime,alpha-nDCG,0.8121951540182406,58528.0,35155.0,30864.0
1,p+ttime,nERR-IA,0.8098560779182983,58528.0,35155.0,30814.0
1,p+ttime,rbu_0.990_0.050,0.7973480343503482,58528.0,35155.0,30548.0
